idiom	example	meaning	origin	used_at	pronunciation_audio	tags	slugs
kill the goose that lays the golden egg	["The%20thing%20that%20attracted%20tourists%20to%20the%20island%20was%20the%20peace%20and%20quiet.%20But%20greedy%20developers%20have%20killed%20the%20goose%20that%20laid%20the%20golden%20egg%20by%20opening%20noisy%20nightclubs%2C%20so%20no-one%20goes%20there%20now.","Parents%20and%20agents%20of%20successful%20child%20actors%20and%20singers%20often%20kill%20the%20goose%20that%20laid%20the%20golden%20egg%20by%20making%20the%20kids%20work%20too%20much%2C%20and%20the%20kids%20lose%20the%20magic%20spark%20that%20made%20them%20special%20in%20the%20first%20place.	["If%20you%20kill%20the%20goose%20that%20lays%20the%20golden%20egg%2C%20you%20destroy%20something%20that%20has%20made%20you%20a%20lot%20of%20money.",""]	This idiom is derived from one of the fables attributed to Aesop. In this tale, a man and his wife had the good luck to own a goose that laid a golden egg every day. They soon began to think they were not getting rich fast enough and, thinking the bird must be full of gold, they killed it to get all the gold at once. But when they cut the goose open, there was	NA	NA	Colours,Death,Food,K,Money	kill the goose that lays the golden egg
kill time	["I%20had%20to%20kill%20time%20at%20the%20airport%20because%20of%20the%20delay%20so%20I%20bought%20a%20book%20of%20crossword%20puzzles.","We%20kill%20time%20on%20long%20trips%20by%20playing%20this%20game%20in%20which%20someone%20thinks%20of%20a%20country%2C%20and%20the%20next%20person%20has%20to%20think%20of%20another%20country%20that%20starts%20with%20the%20last%20letter%20of%20the%20first%20one%2C%20like%20Thailand%2C%20Denmark%2C%20Kenya%2C%20Afghanistan%2C%20Nepal%2C%20and%20so%20on."]	["You%20kill%20time%20when%20you%20do%20something%20to%20amuse%20yourself%20while%20waiting%20for%20something.",""]	NA	NA	NA	Death,K,Time	kill time
Kill two birds with one stone	["When%20I%20chop%20the%20wood%20I%20get%20warm%20too.%20You%20could%20say%20I%20kill%20two%20birds%20with%20one%20stone.","I%20need%20to%20go%20to%20the%20bank%2C%20and%20if%20I%20drop%20the%20books%20off%20at%20the%20library%20on%20the%20way%20I%27ll%20be%20killing%20two%20birds%20with%20one%20stone.","Jenny%20says%20that%20she%20kills%20two%20birds%20with%20one%20stone%20if%20she%20does%20her%20own%20housework%20because%20she%20gets%20the%20house%20clean%20and%20she%20gets%20some%20exercise%20at%20the%20same%20time."]	["Accomplish%20two%20things%20with%20a%20single%20action.","If%20you%20kill%20two%20birds%20with%20one%20stone%2C%20you%20achieve%20two%20things%20with%20the%20one%20action."]	Britain, 17th century. Found in the writings of Thomas Hobbes.	Worldwide.	NA	number,animals,death,Animals,Death,K,Numbers	kill two birds with one stone
kiss and make up	["After%20years%20of%20disputes%2C%20the%20leaders%20of%20Russia%20and%20the%20U.S.%20finally%20kissed%20and%20made%20up.","Don%27t%20you%20think%20it%27s%20time%20you%20and%20your%20brother%20forgot%20about%20what%20happened%20and%20kissed%20and%20made%20up%3F"]	["If%20you%20kiss%20and%20make%20up%20with%20someone%2C%20you%20get%20over%20a%20disagreement%20and%20become%20friendly%20again.",""]	NA	NA	NA	K	kiss and make up
Knee-trembler	["They%20had%20nowhere%20to%20go%20to%20make%20love%20and%20had%20to%20resort%20to%20a%20knee-trembler%20in%20the%20alley."]	["Sexual%20intercourse%20between%20two%20people%20standing%20up."]	Britain, 19th century.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/knee-trembler.mp3	the_human_body,sex,slang	knee
Knee jerk reaction	["When%20Isis%20bombed%20Paris%20the%20knee-jerk%20reaction%20was%20to%20bomb%20them%20back."]	["A%20quick%20and%20automatic%20response."]	Britain, 19th century. Driving from the medical test involving tapping the knee.	Worldwide.	https://www.phrases.org.uk/idioms/audio/knee-jerk-reaction.mp3	the_human_body,medical,excess	knee jerk reaction
Knock it off!	["Lek%20was%20squirting%20everyone%20with%20his%20water%20pistol%20until%20his%20older%20brother%20grabbed%20him%20and%20said%2C%20%22Knock%20it%20off%2C%20will%20you%3F%22","The%20referee%20ran%20over%20to%20the%20players%20who%20were%20wrestling%20on%20the%20ground%20and%20said%2C%20%22Knock%20it%20off%20or%20you%27ll%20both%20get%20a%20booking.%22"]	["You%20can%20say%20%22Knock%20it%20off%21%22%20when%20someone%20is%20doing%20something%20wrong%2C%20or%20something%20that%27s%20annoying%20you%2C%20and%20you%20want%20them%20to%20stop%20it.",""]	NA	NA	NA	K	knock it off!
Knock on wood	["I%20have%20never%20broken%20a%20bone%20-%20touch%20wood."]	["Knuckle%20tapping%20on%20wood%20in%20order%20to%20avoid%20bad%20luck%20or%20to%20continue%20having%20good%20luck."]	USA, early 20th century. Other variants, like 'touch wood' are earlier.	Worldwide.	https://www.phrases.org.uk/idioms/audio/knock-on-wood.mp3	nature,luck,america	knock on wood
knock your socks off	["When%20Nora%20did%20her%20presentation%20on%20the%20new%20development%2C%20she%20knocked%20our%20socks%20off.%20It%20was%20very%20impressive.","Michael%20knocked%20everyone%27s%20socks%20off%20when%20he%20performed%20at%20the%20music%20awards.%20It%20was%20the%20best%20performance%20of%20the%20night%2C%20by%20far."]	["If%20something%20knocks%20your%20socks%20off%2C%20it%20amazes%20you%20and%20surprises%20you.",""]	NA	NA	NA	Clothing,K	knock your socks off
Know the ropes	["I%27m%20being%20supervised%20by%20Jim%20for%20now%2C%20but%20as%20soon%20as%20I%20know%20the%20ropes%20I%27ll%20be%20working%20on%20my%20own.","Anyone%20who%27s%20been%20doing%20the%20job%20for%20a%20few%20months%20should%20know%20the%20ropes%20by%20now.","We%20need%20someone%20to%20teach%20the%20new%20staff.%20Someone%20who%20knows%20the%20ropes%20and%20is%20good%20at%20explaining%20things."]	["To%20understand%20how%20to%20do%20something.","If%20you%20know%20the%20ropes%2C%20you%20know%20how%20to%20do%20a%20job%20properly%2C%20or%20you%20know%20how%20things%20work%20and%20how%20to%20get%20things%20done."]	Britain, 19th century. Possibly of nautical origin. Possibly derived from the days of sailing ships when sailors learned how to tie knots and handle ropes that were attached to the sails. A sailor who knew all this was said to "know the ropes".	Worldwide.	https://www.phrases.org.uk/idioms/audio/know-the-ropes.mp3	work,education,cliche,K	know the ropes
know what's what	["Lou%20has%20been%20in%20the%20music%20business%20for%20over%20thirty%20years%20so%20he%20really%20knows%20what%27s%20what.","Where%20can%20we%20find%20someone%20who%20knows%20what%27s%20what%20when%20it%20comes%20to%20doing%20business%20in%20China%3F"]	["If%20you%20know%20what%27s%20what%2C%20you%20have%20a%20lot%20of%20experience%20and%20you%20understand%20things%20well.",""]	NA	NA	NA	K	know what's what
know where you stand	["Nobody%20bothered%20to%20ask%20Ken%20for%20his%20opinion%2C%20so%20he%20says%20he%20now%20knows%20where%20he%20stands%20in%20the%20company.","Shelley%20didn%27t%20even%20invite%20me%20to%20her%20party%2C%20so%20I%20know%20where%20I%20stand%20with%20her%20now."]	["If%20you%20know%20where%20you%20stand%2C%20you%20know%20exactly%20where%20you%20fit%20in%20a%20social%20or%20work%20situation%2C%20or%20in%20someone%27s%20life.",""]	NA	NA	NA	K	know where you stand
know your stuff	["The%20technician%20who%20looks%20after%20the%20computers%20at%20our%20office%20really%20knows%20her%20stuff.%20She%27s%20great%21","When%20it%20comes%20to%20growing%20vegetables%2C%20Uncle%20Ken%20sure%20knows%20his%20stuff.%20He%27s%20been%20growing%20veggies%20in%20his%20back%20garden%20for%20forty%20years%21"]	["If%20you%20know%20your%20stuff%2C%20you%27re%20very%20good%20at%20what%20you%20do%2C%20and%20you%20know%20a%20lot%20about%20it.",""]	NA	NA	NA	K	know your stuff
labour of love | labor of love	["Hiroko%27s%20website%20was%20a%20labour%20of%20love%20that%20he%20made%20so%20that%20people%20could%20learn%20about%20jazz%20and%20blues%20music.","Bill%20would%20never%20waste%20his%20time%20on%20a%20labor%20of%20love.%20He%27s%20only%20interested%20in%20making%20money."]	["A%20labour%20of%20love%20is%20work%20that%27s%20done%20for%20pleasure%20or%20for%20someone%27s%20benefit%20rather%20than%20for%20money.",""]	NA	NA	NA	L	labour of love,labor of love
Lame duck	["The%20boss%20is%20pretty%20much%20a%20lame%20duck%20now%20that%20he%27s%20announced%20his%20retirement%20and%20we%20know%20he%20won%27t%20be%20here%20next%20month."]	["A%20person%20or%20thing%20that%20is%20no%20longer%20properly%20able%20to%20function.%20Also%2C%20more%20specifically%2C%20a%20person%20in%20authority%2C%20for%20example%20a%20president%20or%20prime%20minister%2C%20in%20their%20final%20period%20of%20of	Britain - 18th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/lame-duck.mp3	animals	lame duck
Last but not least	["We%27ve%20heard%20from%20Paul%20McCartney%20and%20George%20Clooney%2C%20and%20now%2C%20least%20but%20not%20least%2C%20Marlon%20Brando."]	["An%20introduction%2C%20intended%20to%20let%20the%20audience%20know%20that%20the%20last%20person%20mentioned%20is%20not%20the%20least%20important."]	Britain, 16th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/last-but-not-least.mp3	theatre	last but not least
lay down the law	["After%20we%20lost%20our%20third%20game%20in%20a%20row%2C%20our%20coach%20got%20really%20angry%20and%20laid%20down%20the%20law%20and%20said%20we%20had%20to%20try%20harder%20or%20we%27d%20be%20out%20the%20door.","Shelley%27s%20parents%20laid%20down%20the%20law%20after%20she%20got%20home%20late%20and%20grounded%20her%20for%20a%20month."]	["If%20you%20lay%20down%20the%20law%2C%20you%20tell%20people%20what%20they%20should%20do%20in%20a%20forceful%20and%20stern%20way.",""]	NA	NA	NA	L,Law	lay down the law
lead the way	["When%20it%20came%20to%20exploring%20new%20directions%20in%20popular%20music%2C%20the%20Beatles%20definitely%20led%20the%20way.","We%20should%20ask%20Carlos%20to%20lead%20the%20way.%20He%20knows%20this%20area%20better%20than%20any%20of%20us."]	["If%20you%20lead%20the%20way%2C%20you%20show%20others%20where%20to%20go%20or%20what%20to%20do.",""]	NA	NA	NA	L	lead the way
lead you astray	["We%27re%20worried%20about%20our%20teenage%20son%20because%20he%27s%20at%20that%20age%20when%20he%20could%20easily%20be%20led%20astray%20by%20kids%20he%20thinks%20are%20cool%20and%20who%20could%20expose%20him%20to%20drugs%20or%20alcohol%20or%20other%20bad%20stuff.","Carlos%20says%20advertisements%20lead%20millions%20of%20people%20astray%20and%20make%20them%20waste%20their%20lives%20chasing%20after%20material%20possessions%20in%20the%20false%20belief%20that%20they%20can%27t%20possibly%20be%20happy%20unless%20they%20get%20these%20things."]	["If%20someone%20leads%20you%20astray%2C%20they%20set%20a%20bad%20example%20and%20you%20behave%20badly%20also%2C%20or%20they%20encourage%20you%20to%20do%20the%20wrong%20thing.",""]	NA	NA	NA	L	lead you astray
learn the ropes	["Ruth%20will%20teach%20you%20what%20to%20do%2C%20and%20it%20shouldn%27t%20take%20you%20too%20long%20to%20learn%20the%20ropes.","It%20can%20take%20quite%20a%20while%20for%20a%20new%20lawyer%20to%20learn%20the%20ropes%20in%20a%20big%20legal%20firm."]	["If%20you%20learn%20the%20ropes%2C%20you%20learn%20how%20to%20do%20a%20job%20properly%2C%20or%20how%20things%20work%20and%20how%20to%20get%20things%20done.",""]	Possibly derived from the days of sailing ships when sailors learned how to tie knots and handle ropes that were attached to the sails. A sailor who was learning all this was said to be "learning the ropes".	NA	NA	L	learn the ropes
learn your lesson	["After%20being%20arrested%20for%20drunk%20driving%2C%20Charlie%20said%20he%27d%20learned%20his%20lesson%20and%20promised%20never%20to%20drink%20and%20drive%20again.","This%20is%20the%20third%20job%20Emma%27s%20lost%20for%20coming%20in%20late.%20You%27d%20think%20she%27d%20have%20learned%20her%20lesson%20by%20now."]	["If%20you%20learn%20your%20lesson%2C%20you%20learn%20something%20about%20life%20from%20making%20a%20mistake.",""]	NA	NA	NA	L	learn your lesson
leave no stone unturned	["Ari%20has%20left%20no%20stone%20unturned%20in%20her%20search%20for%20a%20job%20in%20television%2C%20but%20so%20far%20she%20hasn%27t%20had%20any%20luck.","The%20leaders%20of%20the%20countries%20involved%20in%20the%20dispute%20claim%20they%27ve%20left%20no%20stone%20unturned%20in%20their%20quest%20for%20a%20peaceful%20solution."]	["If%20you%20leave%20no%20stone%20unturned%2C%20you%20look%20everywhere%20in%20order%20to%20find%20something%2C%20or%20try%20everything%20in%20order%20to%20achieve%20something.",""]	NA	NA	NA	L	leave no stone unturned
leave well enough alone | let well enough alone	["The%20kids%20seem%20happy%20enough%20now%20so%20let%27s%20just%20leave%20well%20enough%20alone%20and%20forget%20about%20finding%20a%20new%20school%20for%20them.","Unless%20there%27s%20a%20problem%2C%20I%27d%20suggest%20you%20just%20let%20well%20enough%20alone%20and%20let%20your%20staff%20get%20on%20with%20their%20work."]	["If%20you%20leave%20well%20enough%20alone%2C%20or%20let%20well%20enough%20alone%2C%20you%20don%27t%20try%20to%20improve%20or%20change%20something%20that%27s%20already%20good%20enough.",""]	NA	NA	NA	American,L	leave well enough alone,let well enough alone
Lend me your ear	["Hey%2C%20lend%20an%20ear%20to%20this%20-%20Suzy%20is%20getting%20married."]	["Politely%20ask%20for%20someones%20full%20attention."]	Britain. From Shakespeare's Julius Caesar.	Worldwide.	https://www.phrases.org.uk/idioms/audio/lend-me-your-ear.mp3	the_human_body	lend me your ear
lend someone a hand	["Could%20you%20lend%20me%20a%20hand%20with%20these%20bags%3F","Sue%27s%20husband%20is%20amazing.%20He%27ll%20even%20lend%20a%20hand%20in%20the%20kitchen%20when%20she%27s%20cooking%20for%20a%20dinner%20party%21"]	["If%20you%20lend%20someone%20a%20hand%2C%20you%20help%20them.",""]	NA	NA	NA	Body,L	lend someone a hand
Let's rewind	["Okay%2C%20we%20are%20really%20lost%20now.%20Let%27s%20rewind%20and%20start%20the%20journey%20again%20using%20the%20sat%20nav."]	["A%20suggestion%20that%20the%20thing%20under%20consideration%20has%20gone%20along%20unproductive%20lines%20and%20should%20be%20looked%20at%20again%20from%20the%20beginning."]	NA	Worldwide.	https://www.phrases.org.uk/idioms/audio/lets-rewind.mp3	NA	let's rewind
Let bygones be bygones	["I%20never%20thought%20I%27d%20be%20saying%20this%20after%20you%20slept%20with%20my%20wife%2C%20but%20that%20was%20thirty%20years%20ago%2C%20let%27s%20let%20bygones%20be%20bygones."]	["Allow%20a%20disagreement%20or%20argument%20to%20be%20put%20in%20the%20past."]	Britain, 16th century proverb	Worldwide.	https://www.phrases.org.uk/idioms/audio/let-bygones-be-bygones.mp3	time,proverbial	let bygones be bygones
let off steam	["After%20sitting%20quietly%20in%20class%20all%20morning%2C%20kids%20need%20time%20to%20let%20off%20steam%20in%20the%20playground%20before%20going%20back%20to%20class%20in%20the%20afternoon.","It%27d%20be%20good%20to%20have%20a%20punching%20bag%20somewhere%20in%20the%20office%20so%20we%20could%20let%20off%20steam%20whenever%20we%20get%20a%20bit%20angry%20or%20frustrated."]	["If%20you%20let%20off%20steam%2C%20you%20do%20something%20to%20release%20pent-up%20emotion%20or%20energy.",""]	This idiom probably comes from the fact that boiling water produces steam which creates high pressure that will cause an explosion if it isn't released somehow.	NA	NA	L	let off steam
Let sleeping dogs lie	["I%20knew%20he%20was%20stealing%20from%20me%20but%2C%20he%20is%20proud%20and%20he%20really%20needs%20the%20money.%20I%20preferred%20to%20let%20sleeping%20dogs%20lie%20and%20to%20say%20nothing."]	["Avoid%20restarting%20a%20conflict."]	Britain. 19th century but much earlier as a similarly-worded proverb.	Worldwide, but like many proverbs, now considered rather old-fashioned.	https://www.phrases.org.uk/idioms/audio/let-sleeping-dogs-lie.mp3	animals,proverbial	let sleeping dogs lie
Let the cat out of the bag	["I%20thought%20Mom%20already%20knew%20Jenny%20was%20pregnant.%20She%20was%20furious%20when%20I%20mentioned%20her%20pre-natal%20check%20and%20let%20the%20cat%20out%20of%20the%20bag.","We%27d%20planned%20a%20surprise%20party%20for%20Donna%2C%20but%20some%20guy%20she%20works%20with%20let%20the%20cat%20out%20of%20the%20bag%2C%20so%20now%20she%20knows.","Don%27t%20forget%20that%20this%20is%20a%20secret%2C%20so%20whatever%20you%20do%2C%20don%27t%20let%20the%20cat%20out%20of%20the%20bag."]	["Share%20a%20secret%20that%20wasn%27t%20intended%20to%20be%20shared.","If%20you%20let%20the%20cat%20out%20of%20the%20bag%2C%20you%20let%20someone%20know%20a%20secret."]	Britain, 18th century. Possibly related to the fact that in England in the Middle Ages, piglets were usually sold in bags at markets. Sometimes, someone would try to cheat a buyer by putting a cat in one of the bags instead of a piglet. And if someone let the cat out of the bag, the fraudster's secret was revealed.	Worldwide.	https://www.phrases.org.uk/idioms/audio/let-the-cat-out-of-the-bag.mp3	animals,secrets,Animals,L	let the cat out of the bag
